Name,Age,mlbID,Lev,Tm,Age,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,team_abbr
Julian Fern\xc3\xa1ndez,29,642759,Maj-NL,"Los Angeles,Washington",29,4,0,1.0,,5.0,3,3,2,5,2,5.4,1.0,20,2.5,0,0,
Ryan Fernandez,28,681676,Maj-NL,St. Louis,28,95,0,1.0,3.0,98.2,98,51,48,107,10,4.65,1.48,434,2.23,14,2,STL
Jose A. Ferrer,26,678606,"Maj-AL,Maj-NL","Seattle,Washington",26,153,0,8.0,12.0,150.1,158,72,36,128,10,4.31,1.29,633,3.56,9,1,
David Festa,25,701581,Maj-AL,Minnesota,25,25,23,5.0,,117.2,111,67,42,130,19,5.12,1.3,506,3.1,15,2,MIN
Matt Festa,33,670036,"Maj-AL,Maj-NL","Cleveland,New York,Seattle,Texas",33,98,0,11.0,1.0,97.0,81,51,37,102,9,4.73,1.216,413,2.76,16,4,
J.P. Feyereisen,32,656420,Maj-NL,"Arizona,Los Angeles",32,14,0,,1.0,15.0,22,15,6,13,5,9.0,1.867,71,2.17,0,0,
Kyle Finnegan,34,640448,"Maj-AL,Maj-NL","Detroit,Washington",34,202,0,16.0,90.0,205.1,182,78,74,184,24,3.42,1.247,848,2.49,30,1,
Braydon Fisher,25,680755,Maj-AL,Toronto,25,69,2,7.0,,67.2,48,21,24,84,7,2.79,1.064,271,3.5,6,3,TOR
Richard Fitts,25,690916,Maj-AL,Boston,25,15,14,2.0,,65.2,62,29,23,49,11,3.97,1.294,280,2.13,3,1,BOS
Ryan Fitzgerald,31,680837,Maj-AL,Minnesota,31,2,0,,,2.0,2,0,0,0,0,0.0,1.0,8,,0,0,MIN
Tyler Fitzgerald,26,666149,Maj-NL,San Francisco,26,3,0,,,3.0,6,3,0,0,0,9.0,2.0,14,,0,0,SF
Jack Flaherty,30,656427,"Maj-AL,Maj-NL","Baltimore,Detroit,Los Angeles,St. Louis",30,101,97,30.0,,521.1,491,252,197,579,72,4.35,1.32,2217,2.94,25,1,
Josh Fleming,30,676596,"Maj-AL,Maj-NL","Pittsburgh,Tampa Bay,Toronto",30,38,6,3.0,1.0,86.0,96,45,35,43,13,4.71,1.523,377,1.23,3,1,
Chris Flexen,30,623167,"Maj-AL,Maj-NL","Chicago,Colorado,Seattle",30,82,48,10.0,1.0,302.0,347,180,110,218,56,5.36,1.513,1333,1.98,12,2,
Dylan Floro,33,571670,"Maj-AL,Maj-NL","Arizona,Miami,Minnesota,Washington",33,127,0,11.0,7.0,124.1,134,59,34,106,8,4.27,1.351,523,3.12,16,0,
Mason Fluharty,24,689254,Maj-AL,Toronto,24,76,1,5.0,1.0,66.0,52,34,31,75,7,4.64,1.258,278,2.42,0,1,TOR
Jason Foley,28,671345,Maj-AL,Detroit,28,139,0,6.0,35.0,128.2,117,42,35,101,7,2.94,1.181,527,2.89,12,0,DET
Mike Ford,30,645801,Maj-AL,Seattle,30,2,0,,,2.0,5,4,1,0,2,18.0,3.0,12,0.0,0,0,SEA
Cameron Foster,27,671382,Maj-AL,Baltimore,27,1,0,,,1.2,2,0,1,3,0,0.0,1.8,8,3.0,0,0,BAL
Matt Foster,29,641582,Maj-AL,Chicago,29,6,1,,,6.2,5,2,5,4,1,2.7,1.5,30,0.8,1,0,CWS
J.P. France,31,641585,Maj-AL,Houston,31,36,28,12.0,,175.1,183,90,68,134,25,4.62,1.432,765,1.97,10,3,HOU
Bowden Francis,29,670102,Maj-AL,Toronto,29,61,27,11.0,1.0,204.0,167,88,57,181,41,3.88,1.098,832,3.18,2,1,TOR
Jose Franco,25,683742,Maj-NL,Cincinnati,25,3,0,,,5.2,7,2,5,4,0,3.18,2.118,27,0.8,3,0,CIN
Kyle Freeland,33,607536,Maj-NL,Colorado,33,83,83,16.0,,441.1,524,247,109,315,74,5.04,1.434,1922,2.89,28,11,COL
Caleb Freeman,27,673965,Maj-AL,Chicago,27,5,0,,,3.1,5,2,1,3,1,5.4,1.8,16,3.0,1,0,CWS
Luis Fr\xc3\xadas,26,666818,"Maj-AL,Maj-NL","Arizona,Toronto",26,47,0,1.0,,47.1,52,30,27,46,7,5.7,1.669,219,1.7,3,2,
Max Fried,32,608331,"Maj-AL,Maj-NL","Atlanta,New York",32,83,83,40.0,,492.2,421,172,143,468,38,3.14,1.145,2020,3.27,25,16,
David Fry,27,681807,Maj-AL,Cleveland,27,2,0,,,5.0,10,7,1,0,3,12.6,2.2,26,0.0,0,0,CLE
Didier Fuentes,21,800311,Maj-NL,Atlanta,21,5,4,,,17.0,25,21,7,16,6,11.12,1.882,84,2.29,0,0,ATL
Shintaro Fujinami,29,660261,Maj-AL,"Baltimore,Oakland",29,64,7,7.0,2.0,79.0,73,63,45,83,9,7.18,1.494,357,1.84,7,0,
Carson Fulmer,31,608334,Maj-AL,Los Angeles,31,53,9,1.0,,126.0,112,62,55,113,17,4.43,1.325,541,2.05,8,4,LAA
Michael Fulmer,32,605242,"Maj-AL,Maj-NL","Boston,Chicago",32,60,1,3.0,2.0,61.2,53,31,30,66,8,4.52,1.346,256,2.2,1,0,
Kody Funderburk,29,681892,Maj-AL,Minnesota,29,89,0,8.0,3.0,96.2,98,44,45,99,8,4.1,1.479,433,2.2,10,3,MIN
Hunter Gaddis,28,683769,Maj-AL,Cleveland,28,175,6,11.0,3.0,192.2,153,61,55,180,21,2.85,1.08,780,3.27,10,4,CLE
Matt Gage,33,657424,"Maj-AL,Maj-NL","Detroit,Houston,San Francisco",33,48,2,1.0,,47.0,46,15,19,42,2,2.87,1.383,199,2.21,3,0,
Giovanny Gallegos,32,606149,Maj-NL,St. Louis,32,77,0,4.0,11.0,75.2,78,42,22,80,17,5.0,1.322,323,3.64,6,0,STL
Zac Gallen,30,668678,Maj-NL,Arizona,30,105,105,47.0,,604.2,553,266,185,582,74,3.96,1.221,2508,3.15,41,1,ARI
Gerson Garabito,29,642520,Maj-AL,Texas,29,21,2,,,34.1,38,22,13,30,5,5.77,1.485,156,2.31,4,0,TEX
Brandyn Garcia,25,805299,"Maj-AL,Maj-NL","Arizona,Seattle",25,14,0,,,14.1,18,9,8,14,0,5.65,1.814,66,1.75,1,0,
Deivi Garc\xc3\xada,25,665620,Maj-AL,"Chicago,New York",25,22,0,1.0,2.0,29.0,25,15,23,25,4,4.66,1.655,135,1.09,1,0,
Luis Garcia,39,472610,"Maj-AL,Maj-NL","Boston,Los Angeles,New York,San Diego,Washington",39,183,0,9.0,6.0,178.2,183,84,66,155,16,4.23,1.394,777,2.35,25,2,
Luis Garcia,28,677651,Maj-AL,Houston,28,8,8,3.0,,34.2,28,15,11,38,5,3.89,1.125,143,3.45,0,0,HOU
Rico Garcia,32,670329,"Maj-AL,Maj-NL","Baltimore,New York,Oakland,Washington",32,49,1,2.0,1.0,56.0,50,24,19,58,10,3.86,1.232,235,3.05,1,0,
Robert Garcia,30,676395,"Maj-AL,Maj-NL","Miami,Texas,Washington",30,177,0,9.0,9.0,163.2,144,65,57,182,15,3.57,1.228,681,3.19,14,5,
Yimi Garc\xc3\xada,34,554340,Maj-AL,"Seattle,Toronto",34,134,0,6.0,11.0,126.1,101,52,38,156,16,3.7,1.1,523,4.11,14,2,
Amir Garrett,32,607237,Maj-AL,"Kansas City,Los Angeles",32,32,0,,,29.0,24,12,24,38,5,3.72,1.655,131,1.58,7,0,
Braxton Garrett,26,666129,Maj-NL,Miami,26,39,38,11.0,,199.2,197,89,34,195,25,4.01,1.157,833,5.74,17,3,MIA
Reed Garrett,32,657585,"Maj-AL,Maj-NL","Baltimore,New York",32,129,1,13.0,7.0,140.2,124,67,65,173,16,4.29,1.344,603,2.66,14,5,
Justin Garza,31,621057,"Maj-AL,Maj-NL","Boston,New York",31,22,1,,,25.0,30,19,13,20,4,6.84,1.72,119,1.54,0,0,
Robert Gasser,26,688107,Maj-NL,Milwaukee,26,9,7,2.0,,36.1,39,12,7,23,5,2.97,1.266,160,3.29,2,0,MIL
Kevin Gausman,35,592332,Maj-AL,Toronto,35,105,104,38.0,,616.0,517,238,180,650,68,3.48,1.131,2518,3.61,59,9,TOR
Joey Gerber,29,680702,"Maj-AL,Maj-NL","New York,Tampa Bay",29,3,0,,,6.1,5,1,1,9,1,1.42,0.947,24,9.0,0,0,
Domingo Germ\xc3\xa1n,31,593334,"Maj-AL,Maj-NL","New York,Pittsburgh",31,27,21,5.0,,129.1,108,73,47,132,24,5.08,1.198,544,2.81,19,1,
Paul Gervase,25,801434,"Maj-AL,Maj-NL","Los Angeles,Tampa Bay",25,6,0,,,8.1,8,4,6,8,3,4.32,1.68,39,1.33,0,0,
Ian Gibaut,31,664139,Maj-NL,Cincinnati,31,100,0,8.0,3.0,102.0,98,42,36,85,11,3.71,1.314,434,2.36,13,4,CIN
Cade Gibson,27,806188,Maj-NL,Miami,27,44,1,4.0,,54.2,44,16,21,43,3,2.63,1.189,230,2.05,2,1,MIA
Kyle Gibson,37,502043,"Maj-AL,Maj-NL","Baltimore,St. Louis",37,67,66,22.0,,372.0,383,201,130,316,54,4.86,1.379,1591,2.43,15,1,
Luis Gil,28,661563,Maj-AL,New York,28,45,45,19.0,,228.1,171,95,120,225,31,3.74,1.274,970,1.88,10,8,NYY
Logan Gilbert,29,669302,Maj-AL,Seattle,29,99,98,30.0,,574.1,469,224,112,628,80,3.51,1.012,2292,5.61,39,4,SEA
Tyler Gilbert,32,656457,"Maj-AL,Maj-NL","Arizona,Chicago,Philadelphia",32,65,5,4.0,1.0,79.1,75,41,34,74,10,4.65,1.374,340,2.18,12,2,
Lucas Gilbreath,29,656458,Maj-NL,Colorado,29,4,0,,,2.0,8,7,1,2,2,31.5,4.5,16,2.0,0,0,COL
Logan Gillaspie,28,670810,"Maj-AL,Maj-NL","Baltimore,San Diego",28,22,0,,,27.0,36,17,9,18,5,5.67,1.667,125,2.0,0,0,
Connor Gillispie,27,687362,"Maj-AL,Maj-NL","Cleveland,Miami",27,9,6,,,34.0,36,27,16,31,6,7.15,1.529,155,1.94,8,1,
Kevin Ginkel,32,656464,Maj-NL,Arizona,32,179,0,19.0,12.0,180.2,157,69,59,202,11,3.44,1.196,749,3.42,11,0,ARI
J.T. Ginn,27,669372,Maj-AL,"Athletics,Oakland",27,36,24,5.0,,140.2,137,73,47,139,23,4.67,1.308,597,2.96,11,2,
Lucas Giolito,30,608337,Maj-AL,"Boston,Chicago,Cleveland,Los Angeles",30,59,59,18.0,,329.1,300,155,129,325,58,4.24,1.303,1407,2.52,25,3,
Sawyer Gipson-Long,27,687830,Maj-AL,Detroit,27,12,7,1.0,,51.1,48,31,14,52,10,5.44,1.208,215,3.71,7,1,DET
Mychal Givens,33,571710,Maj-AL,Baltimore,33,6,0,,,4.0,4,5,6,2,0,11.25,2.5,22,0.33,1,0,BAL
Tyler Glasnow,32,607192,"Maj-AL,Maj-NL","Los Angeles,Tampa Bay",32,72,69,25.0,1.0,395.2,277,147,137,498,41,3.34,1.046,1584,3.64,53,2,
Austin Gomber,31,596295,Maj-NL,Colorado,31,69,69,14.0,,361.2,424,220,98,237,72,5.47,1.443,1571,2.42,26,2,COL
Yoendrys G\xc3\xb3mez,26,672782,"Maj-AL,Maj-NL","Chicago,Los Angeles,New York,Tampa Bay",26,34,9,3.0,2.0,89.1,87,51,42,82,19,5.14,1.444,402,1.95,10,0,
Tony Gonsolin,31,664062,Maj-NL,Los Angeles,31,27,27,11.0,,139.0,119,77,58,120,28,4.99,1.273,592,2.07,10,0,LAD
Marco Gonzales,32,594835,"Maj-AL,Maj-NL","Pittsburgh,Seattle",32,17,17,5.0,,83.2,98,46,29,57,10,4.95,1.518,366,1.97,3,0,
Chi Chi Gonz\xc3\xa1lez,31,592346,Maj-NL,Miami,31,3,0,,,3.2,7,3,1,3,1,7.36,2.182,19,3.0,1,0,MIA
Victor Gonz\xc3\xa1lez,28,624647,"Maj-AL,Maj-NL","Los Angeles,New York",28,61,1,5.0,2.0,57.0,40,25,23,41,5,3.95,1.105,232,1.78,2,2,
Wikelman Gonz\xc3\xa1lez,23,682790,Maj-AL,Chicago,23,16,0,1.0,,20.1,13,6,12,25,1,2.66,1.23,87,2.08,2,0,CWS
Colton Gordon,27,676467,Maj-AL,Houston,27,22,15,6.0,1.0,92.1,115,58,20,82,25,5.65,1.462,410,4.1,3,0,HOU
Tanner Gordon,28,685299,Maj-NL,Colorado,28,24,23,6.0,,113.2,151,86,24,92,26,6.81,1.54,511,3.83,6,1,COL
MacKenzie Gore,27,669022,"Maj-AL,Maj-NL","Texas,Washington",27,93,93,24.0,,483.1,469,220,197,547,64,4.1,1.378,2078,2.78,49,6,
Anthony Gose,33,543238,Maj-AL,Cleveland,33,3,0,,,4.1,9,5,1,4,2,10.38,2.308,22,4.0,0,0,CLE
Trevor Gott,30,641627,"Maj-AL,Maj-NL","New York,Seattle",30,63,0,,1.0,56.2,59,27,19,62,4,4.29,1.376,252,3.26,11,2,
Gordon Graceffo,26,700669,Maj-NL,St. Louis,26,35,1,4.0,1.0,61.0,59,35,21,52,3,5.16,1.311,262,2.48,4,0,STL
Andre Granillo,26,701552,Maj-NL,"St. Louis,Washington",26,19,0,1.0,1.0,25.1,28,17,12,19,4,6.04,1.579,114,1.58,1,0,
Brusdar Graterol,25,660813,Maj-NL,Los Angeles,25,80,1,4.0,7.0,80.0,59,12,19,58,3,1.35,0.975,307,3.05,5,0,LAD
Kendall Graveman,34,608665,"Maj-AL,Maj-NL","Arizona,Chicago,Houston",34,85,0,5.0,8.0,82.1,71,34,46,75,11,3.72,1.421,356,1.63,9,1,
Jon Gray,33,592351,Maj-AL,Texas,33,61,48,16.0,,279.2,275,136,89,248,38,4.38,1.302,1180,2.79,23,5,TEX
Josiah Gray,26,680686,Maj-NL,Washington,26,32,32,8.0,,167.1,167,82,85,152,24,4.41,1.506,742,1.79,22,4,WSN
Sonny Gray,36,543243,"Maj-AL,Maj-NL","Boston,Minnesota,St. Louis",36,98,98,38.0,,560.1,518,228,139,610,59,3.66,1.173,2309,4.39,48,10,
Chad Green,34,643338,Maj-AL,Toronto,34,110,0,10.0,17.0,109.1,103,53,31,95,23,4.36,1.226,452,3.06,11,1,TOR
Hunter Greene,25,668881,Maj-NL,Cincinnati,25,67,67,20.0,,369.2,283,141,130,449,48,3.43,1.117,1528,3.45,38,4,CIN
Shane Greene,34,572888,Maj-NL,Chicago,34,2,0,,,3.0,2,0,2,3,0,0.0,1.333,12,1.5,0,0,CHC
Zack Greinke,39,425844,Maj-AL,Kansas City,39,29,26,2.0,,137.0,151,78,22,93,25,5.12,1.263,570,4.23,2,5,KC
Foster Griffin,30,656492,Maj-NL,Washington,30,4,4,2.0,,20.2,19,7,7,19,3,3.05,1.258,87,2.71,1,0,WSN
Michael Grove,27,675627,Maj-NL,Los Angeles,27,60,14,6.0,,122.1,131,78,37,130,20,5.74,1.373,529,3.51,12,3,LAD
Sean Guenther,29,674944,Maj-AL,Detroit,29,30,1,4.0,,34.1,21,9,8,20,0,2.36,0.845,127,2.5,0,0,DET
Javy Guerra,27,642770,"Maj-AL,Maj-NL","Milwaukee,Tampa Bay",27,16,2,,,18.1,17,13,22,13,2,6.38,2.127,94,0.59,2,0,
Luis Guerrero,24,692285,Maj-AL,Boston,24,22,0,,,27.1,15,8,16,19,0,2.63,1.134,108,1.19,3,0,BOS
Luis Guillorme,29,641645,"Maj-AL,Maj-NL","Atlanta,Los Angeles,New York",29,4,0,,,4.0,5,4,2,0,1,9.0,1.75,19,0.0,0,0,
Ryan Gusto,27,687473,"Maj-AL,Maj-NL","Houston,Miami",27,28,17,7.0,,102.2,114,64,36,98,17,5.61,1.461,456,2.72,8,0,
Vladimir Gutierrez,28,661269,Maj-NL,Miami,28,1,0,,,4.0,3,3,2,4,1,6.75,1.25,17,2.0,1,0,MIA
Josh Hader,31,623352,"Maj-AL,Maj-NL","Houston,San Diego",31,182,0,16.0,95.0,182.1,108,51,73,266,23,2.52,0.993,727,3.64,10,2,
Justin Hagenman,28,663795,Maj-NL,New York,28,9,1,,1.0,23.2,24,12,2,23,4,4.56,1.099,99,11.5,1,0,NYM
Jesse Hahn,35,534910,Maj-AL,Seattle,35,3,0,,,5.0,6,3,5,3,1,5.4,2.2,25,0.6,0,0,SEA
DL Hall,27,669084,"Maj-AL,Maj-NL","Baltimore,Milwaukee",27,62,10,5.0,,113.2,97,47,50,111,11,3.72,1.293,484,2.22,3,2,
Seth Halvorsen,25,678020,Maj-NL,Colorado,25,54,0,3.0,13.0,52.0,49,24,23,49,9,4.15,1.385,219,2.13,6,1,COL
Dom Hamel,26,687589,Maj-NL,New York,26,1,0,,,1.0,3,0,0,0,0,0.0,3.0,6,,0,0,NYM
Ian Hamilton,30,641656,Maj-AL,New York,30,112,4,5.0,3.0,137.1,111,53,63,155,9,3.47,1.267,574,2.46,5,2,NYY
Garrett Hampson,30,641658,"Maj-AL,Maj-NL","Kansas City,St. Louis",30,2,0,,,2.0,0,0,0,0,0,0.0,0.0,7,,0,0,
Emerson Hancock,27,676106,Maj-AL,Seattle,27,43,35,10.0,,190.1,184,95,62,137,30,4.49,1.292,803,2.21,11,1,SEA
Brad Hand,33,543272,Maj-NL,"Atlanta,Colorado",33,60,0,5.0,1.0,53.2,54,33,22,60,7,5.53,1.416,236,2.73,13,1,
Brenan Hanifee,27,669724,Maj-AL,Detroit,27,80,3,4.0,,97.0,103,31,21,68,7,2.88,1.278,415,3.24,8,1,DET
Tom Harrington,23,802419,Maj-NL,Pittsburgh,23,3,1,,1.0,8.2,18,15,7,7,3,15.58,2.885,50,1.0,1,0,PIT
Hayden Harris,26,802686,Maj-NL,Atlanta,26,3,0,,,2.2,3,1,2,0,0,3.38,1.875,12,0.0,0,0,ATL
Hobie Harris,30,665048,Maj-NL,Washington,30,16,0,,,19.1,21,11,13,9,2,5.12,1.759,91,0.69,3,0,WSN
Hogan Harris,29,663687,Maj-AL,"Athletics,Oakland",29,95,15,10.0,5.0,212.2,194,100,106,193,23,4.23,1.411,925,1.82,14,5,
Josh Harrison,35,543281,Maj-NL,Philadelphia,35,2,0,,,1.2,8,5,2,0,0,27.0,6.0,15,0.0,0,0,PHI
Kyle Harrison,24,690986,"Maj-AL,Maj-NL","Boston,Milwaukee,San Francisco",24,45,40,10.0,,209.1,201,100,71,206,32,4.3,1.299,895,2.9,25,4,
Kyle Hart,33,606996,Maj-NL,San Diego,33,27,6,3.0,,55.0,46,34,18,44,9,5.56,1.164,227,2.44,1,1,
Geoff Hartlieb,31,664129,"Maj-AL,Maj-NL","Colorado,Detroit,Miami,New York",31,11,0,,,16.1,23,18,13,15,4,9.92,2.204,84,1.15,2,0,
Grant Hartwig,26,701643,Maj-NL,New York,26,32,0,5.0,,42.0,40,24,19,34,4,5.14,1.405,189,1.79,1,2,NYM
Hunter Harvey,31,640451,"Maj-AL,Maj-NL","Chicago,Kansas City,Washington",31,121,0,7.0,11.0,125.0,105,47,31,137,14,3.38,1.088,507,4.42,20,1,
Thomas Hatch,30,641672,"Maj-AL,Maj-NL","Kansas City,Minnesota,Pittsburgh,Toronto",30,30,3,3.0,,62.2,73,35,29,48,9,5.03,1.628,281,1.66,8,1,
Brent Headrick,28,687396,Maj-AL,"Minnesota,New York",28,45,0,4.0,1.0,63.0,58,29,24,78,12,4.14,1.302,273,3.25,2,2,
Andrew Heaney,34,571760,"Maj-AL,Maj-NL","Los Angeles,Pittsburgh,Texas",34,98,85,21.0,,440.2,442,224,145,400,71,4.57,1.332,1917,2.76,26,0,
Taylor Hearn,28,621368,"Maj-AL,Maj-NL","Atlanta,Kansas City,Texas",28,13,0,,,15.0,23,19,8,15,4,11.4,2.067,76,1.88,3,0,
Jonathan Heasley,27,669169,Maj-AL,"Baltimore,Kansas City",27,16,0,,,20.1,27,22,5,13,7,9.74,1.574,92,2.6,1,1,
Austin Hedges,33,595978,Maj-AL,"Cleveland,Texas",33,9,0,,,9.0,11,4,2,2,1,4.0,1.444,39,1.0,0,0,
Tyler Heineman,35,623168,Maj-AL,Toronto,35,6,0,,,7.1,23,17,1,0,2,20.86,3.273,48,0.0,0,0,TOR
Ben Heller,32,621294,Maj-NL,"Atlanta,Pittsburgh",32,27,0,,,30.2,35,23,17,31,3,6.75,1.696,148,1.82,4,0,
Ryan Helsley,31,664854,"Maj-AL,Maj-NL","Baltimore,New York,St. Louis",31,164,0,13.0,90.0,166.1,138,53,69,206,12,2.87,1.244,695,2.99,12,2,
Heath Hembree,34,592390,Maj-AL,Tampa Bay,34,1,0,,,1.1,0,0,1,2,0,0.0,0.75,4,2.0,0,0,TB
Logan Henderson,24,701656,Maj-NL,Milwaukee,24,6,6,3.0,,27.1,20,7,9,36,3,2.3,1.061,108,4.0,1,0,MIL
Kyle Hendricks,35,543294,"Maj-AL,Maj-NL","Chicago,Los Angeles",35,84,79,18.0,,432.1,452,230,113,294,59,4.79,1.307,1840,2.6,61,3,
Liam Hendriks,36,521230,Maj-AL,"Boston,Chicago",36,19,0,2.0,1.0,18.2,16,13,8,15,3,6.27,1.286,79,1.88,3,1,
Blair Henley,27,668874,Maj-AL,Houston,27,1,1,,,0.1,4,5,3,0,0,135.0,21.0,9,0.0,0,0,HOU
Edgardo Henriquez,24,683618,Maj-NL,Los Angeles,24,37,0,3.0,2.0,35.1,34,14,17,34,4,3.57,1.443,156,2.0,3,0,LAD
Ronny Henriquez,25,678692,"Maj-AL,Maj-NL","Miami,Minnesota",25,85,1,8.0,7.0,92.1,73,25,32,113,10,2.44,1.137,385,3.53,18,2,
Cole Henry,26,669371,Maj-NL,Washington,26,64,0,1.0,2.0,59.2,51,30,36,60,8,4.53,1.458,275,1.67,10,1,WSN
Tommy Henry,27,674072,Maj-NL,Arizona,27,28,23,7.0,,134.0,141,74,54,102,24,4.97,1.455,589,1.89,11,2,ARI
David Hensley,28,682073,Maj-NL,Miami,28,1,0,,,2.0,2,2,1,0,0,9.0,1.5,10,0.0,0,0,MIA
Sam Hentges,27,656529,Maj-AL,Cleveland,27,81,0,3.0,,76.0,71,29,23,83,5,3.43,1.237,314,3.61,6,0,CLE
Jimmy Herget,32,623474,"Maj-AL,Maj-NL","Atlanta,Colorado,Los Angeles",32,104,3,3.0,1.0,133.2,124,46,39,128,15,3.1,1.219,561,3.28,9,1,
Kevin Herget,34,643361,Maj-NL,"Atlanta,Cincinnati,Milwaukee,New York",34,28,0,1.0,2.0,48.2,44,20,14,28,5,3.7,1.192,204,2.0,0,0,
Carlos Hern\xc3\xa1ndez,28,672578,"Maj-AL,Maj-NL","Cleveland,Detroit,Kansas City,Philadelphia",28,134,4,2.0,4.0,142.1,135,82,69,142,15,5.19,1.433,628,2.06,20,0,
Daysbel Hern\xc3\xa1ndez,28,678226,Maj-NL,Atlanta,28,61,0,8.0,,62.0,44,22,45,68,4,3.19,1.435,271,1.51,6,1,ATL
Elieser Hern\xc3\xa1ndez,29,622694,Maj-NL,"Los Angeles,Milwaukee",29,9,1,,,15.2,14,11,5,8,5,6.32,1.213,64,1.6,0,0,
Enrique Hern\xc3\xa1ndez,33,571771,Maj-NL,Los Angeles,33,9,0,,,9.2,16,11,8,1,1,10.24,2.483,55,0.13,0,0,LAD
Jonathan Hern\xc3\xa1ndez,27,642546,Maj-AL,"Seattle,Texas",27,61,1,4.0,,73.0,75,44,43,71,10,5.42,1.616,332,1.65,6,0,
Jose Hernandez,26,669796,Maj-NL,Pittsburgh,26,57,0,2.0,1.0,56.0,52,30,26,66,10,4.82,1.393,248,2.54,7,0,PIT
Nick Hernandez,30,663321,"Maj-AL,Maj-NL","Houston,San Diego",30,17,0,,,21.2,25,17,13,26,8,7.06,1.754,104,2.0,1,0,
Yonny Hern\xc3\xa1ndez,25,660634,Maj-NL,Los Angeles,25,1,0,,,1.0,1,0,0,0,0,0.0,1.0,4,,0,0,LAD
Jos\xc3\xa9 Herrera,28,645444,Maj-NL,Arizona,28,4,0,,,4.0,8,3,0,0,0,6.75,2.0,20,,0,0,ARI
Tim Herrin,29,682120,Maj-AL,Cleveland,29,170,0,12.0,,149.2,116,55,75,157,10,3.31,1.276,629,2.09,18,4,CLE
DJ Herz,23,687792,Maj-NL,Washington,23,19,19,4.0,,88.2,76,41,36,106,11,4.16,1.263,382,2.94,2,0,WSN
Codi Heuer,28,676051,Maj-AL,"Detroit,Texas",28,3,0,,,4.2,4,3,2,5,3,5.79,1.286,21,2.5,0,0,
Aaron Hicks,34,543305,Maj-AL,Los Angeles,34,1,0,,,1.0,2,2,1,0,1,18.0,3.0,6,0.0,0,0,LAA
Jordan Hicks,29,663855,"Maj-AL,Maj-NL","Boston,Chicago,San Francisco,St. Louis,Toronto",29,139,29,9.0,16.0,253.2,259,130,121,242,22,4.61,1.498,1130,2.0,16,1,
P.J. Higgins,33,664731,Maj-NL,Cincinnati,33,1,0,,,1.0,0,0,0,1,0,0.0,0.0,3,,0,0,CIN
Garrett Hill,27,682051,Maj-AL,Detroit,27,9,0,,1.0,15.2,19,16,14,14,4,9.19,2.106,80,1.0,1,0,DET
Jaden Hill,26,677955,Maj-NL,Colorado,26,47,0,1.0,,48.2,40,18,22,45,4,3.33,1.274,212,2.05,14,0,COL
Rich Hill,45,448179,"Maj-AL,Maj-NL","Boston,Kansas City,Pittsburgh,San Diego",45,38,29,8.0,,159.0,175,95,69,138,26,5.38,1.535,718,2.0,30,3,
Tim Hill,36,657612,"Maj-AL,Maj-NL","Chicago,New York,San Diego",36,201,0,10.0,,197.2,205,77,51,100,17,3.51,1.295,829,1.96,3,1,
Yaramil Hiraldo,30,682274,Maj-AL,Baltimore,30,21,0,,,21.1,20,14,13,23,6,5.91,1.547,96,1.77,3,1,BAL
Sean Hjelle,28,663546,Maj-NL,San Francisco,28,85,1,6.0,,124.2,143,69,36,117,15,4.98,1.436,549,3.25,7,1,SF
Porter Hodge,24,687863,Maj-NL,Chicago,24,75,0,5.0,11.0,76.0,53,32,37,92,11,3.79,1.184,311,2.49,4,1,CHC
Bryan Hoeing,28,663773,Maj-NL,"Miami,San Diego",28,77,9,6.0,,135.0,128,62,43,103,19,4.13,1.267,564,2.4,14,1,
Jeff Hoffman,33,656546,"Maj-AL,Maj-NL","Philadelphia,Toronto",33,224,0,20.0,48.0,216.2,158,81,75,290,28,3.36,1.075,893,3.87,23,1,
Nolan Hoffman,27,676510,Maj-NL,Philadelphia,27,1,0,,,1.0,3,3,1,2,0,27.0,4.0,7,2.0,0,0,PHI
Andrew Hoffmann,26,694851,"Maj-AL,Maj-NL","Arizona,Kansas City",26,16,0,2.0,,20.0,18,9,15,20,3,4.05,1.65,95,1.33,1,0,
Gunnar Hoglund,25,680684,Maj-AL,Athletics,25,6,6,1.0,,32.1,38,23,11,23,10,6.4,1.515,139,2.09,2,0,
Colin Holderman,30,670059,"Maj-AL,Maj-NL","Cleveland,Pittsburgh",30,138,0,3.0,3.0,135.0,132,64,63,134,15,4.27,1.444,599,2.13,20,0,
Gavin Hollowell,27,668970,Maj-NL,"Chicago,Colorado",27,34,0,2.0,1.0,44.1,42,27,25,43,9,5.48,1.511,203,1.72,6,0,
Grant Holman,25,680880,Maj-AL,"Athletics,Oakland",25,40,2,5.0,,38.2,43,20,18,33,4,4.66,1.578,176,1.83,0,1,
Clay Holmes,33,605280,"Maj-AL,Maj-NL",New York,33,183,35,24.0,54.0,326.2,285,115,125,296,23,3.17,1.255,1382,2.37,15,1,
Grant Holmes,30,656550,Maj-NL,Atlanta,30,52,32,7.0,,204.2,180,86,79,210,25,3.78,1.265,862,2.66,9,1,ATL
Tyler Holton,30,663947,Maj-AL,Detroit,30,215,18,16.0,10.0,278.0,194,83,58,230,33,2.69,0.906,1069,3.97,7,0,DET
